db,action,id,old_plu,new_plu,old_name,new_name
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,cd17d189-9351-4fe6-8de2-97d7175fe5e8,9348728000065,9348728000065,GRANOLA  650G,GRANOLA 650G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,92a24c52-3385-4dfc-9103-def9d7ea5ea9,80687439126,80687439126,JENS BISCUITS JAM DROPS  300G,JENS BISCUITS JAM DROPS 300G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,06dd5da6-9848-4b94-a809-8a433178e65b,39045402739,39045402739,KUHNE GHERKIN  PICKLED 670G,KUHNE GHERKIN PICKLED 670G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,813e8272-4eff-465e-a279-b8a4892457e0,8004690057308,8004690057308,LA MOLISANA BRONZO  500G,LA MOLISANA BRONZO 500G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,8be38d54-5907-4cff-a05c-17cd4b1925ec,8004690342190,8004690342190,LA MOLISANA LAZAGNE 219  500G,LA MOLISANA LAZAGNE 219 500G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,02030bb9-ec96-4d25-90bc-d86269466fd5,8009915001340,8009915001340,LE VENZIANE ELICHE  250,LE VENZIANE ELICHE 250
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,9d4f8393-acf0-43c8-b4ab-15d19698c877,9310012021049,9310012021049,M/F SCE TOMATO           500M^,M/F SCE TOMATO 500M^
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,db00b9ff-b778-469e-a0af-915a7601c62c,65254724362,65254724362,MAPLES SYRUP  250ML,MAPLES SYRUP 250ML
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,f60afbc8-0da0-46bf-a415-d890d8394708,5201041022616,5201041022616,NOUGAT  ALMOND 50G,NOUGAT ALMOND 50G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,95482c71-0aa5-4da4-b041-75a96c49a9cb,9310342002503,9310342002503,OLSSON SALT TABLE  1KG^,OLSSON SALT TABLE 1KG^
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,29eaaf95-ca6f-420c-b305-e00a91fe5385,4088700087954,4088700087954,POPCORN TIME RAINBOW  8PK,POPCORN TIME RAINBOW 8PK
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,145c2276-4911-4fb4-9201-dd59b72528b1,9350271003240,9350271003240,REMEDY  LEMONLIME BITTERS 2PK,REMEDY LEMONLIME BITTERS 2PK
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,7d803a87-a709-41e3-b927-47a0697c2ef4,9350271002984,9350271002984,REMEDY KOMBUCHA ORANGE  750 ML,REMEDY KOMBUCHA ORANGE 750 ML
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,2cb179f5-f50d-44f8-851c-8c91a5a4c7d6,9312336037461,9312336037461,S/F ORGANIC YUZU  SEASONING 69G,S/F ORGANIC YUZU SEASONING 69G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,b265ce8e-7055-48e6-866f-62a235dba1eb,9310140283807,9310140283807,S/RCE RICE WHITE L/GRN    1KG^,S/RCE RICE WHITE L/GRN 1KG^
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,c511c8a5-0a20-4a6b-82f0-72e3e91e8dd6,9314820010158,9314820010158,SQUISITO PAESANI  500,SQUISITO PAESANI 500
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,3cdffd48-6731-4c2a-a64c-1556e8f3b4f6,9319224800084,9319224800084,STIRFRY SAUCE  250ML,STIRFRY SAUCE 250ML
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,dbca1d5c-3404-4c8f-8287-d25e3a4355eb,9319224800121,9319224800121,STIRFRY SAUCE  250ML,STIRFRY SAUCE 250ML
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,1b803e8e-9ea6-4758-b1fe-0b9f7d2c76af,9310175140809,9310175140809,VAL VERDE FISH  STOCK,VAL VERDE FISH STOCK
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,bae9aece-9685-4d29-a240-ba655b8b0668,9310175104092,9310175104092,VAL VERDE BLACK  BEANS 400GM,VAL VERDE BLACK BEANS 400GM
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,abd10a55-0562-43d1-80b4-1806a3b53bdd,9310631620838,9310631620838,VITTORIA MINT  CHOCOCHINO 375G,VITTORIA MINT CHOCOCHINO 375G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,8dd80d69-1b00-4018-b7e4-dd3c8a1fcd41,9310631620791,9310631620791,VITTORIA WHITE  CHOCOCHINO 375G,VITTORIA WHITE CHOCOCHINO 375G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,581cb2c8-2326-47f1-bf0b-2b5fef7c5854,9335964002014,9335964002014,WILD NECTAR JAR  350G,WILD NECTAR JAR 350G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,4e07bf5b-eacb-4825-8bda-55e7c6063bd3,39,39,FLOWERS BUNCH  14.99,FLOWERS BUNCH 14.99
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,a852bf40-e476-41dd-ae69-94c83d72aa28,44,44,FLOWERS BUNCH  19.99,FLOWERS BUNCH 19.99
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,a3a8aba9-9dec-4179-b8ce-49677fbfe459,46,46,FLOWERS BUNCH  25.00,FLOWERS BUNCH 25.00
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,1c7e26a8-7969-4ee9-bf57-67f9ea72f9ae,47,47,FLOWERS BUNCH  30.00,FLOWERS BUNCH 30.00
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,cbcd135c-c080-4b5a-b2c5-5752faf0e41d,34,34,FLOWERS BUNCH  9.99,FLOWERS BUNCH 9.99
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,inserted,price-list-60,,60,,FLOWERS BUNCH ASST
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,2ee63da0-68f9-4bb3-90a9-3703223bad5e,9317616005802,9317616005802,AEGEAN WALNUTS 350G,AEGEAN WALNUTS 350G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,a72470f1-c1da-450d-8007-7f2fd754ffb9,9317616005055,9317616005055,AEGEAN ALMOND MEAL 200G,AEGEAN ALMOND MEAL 200G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,50a47c08-7144-4e02-9336-3b5af8bfba31,9317616005345,9317616005345,AEGEAN BBQ CORN NUGGETS 200GR,AEGEAN BBQ CORN NUGGETS 200GR
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,d3fd12a7-f505-4a83-ad7c-893a812e377c,9317616005154,9317616005154,AEGEAN BRAZIL NUTS 200 GR,AEGEAN BRAZIL NUTS 200 GR
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,8f10d35c-d140-40d9-ae02-c187624f781c,9317616005185,9317616005185,AEGEAN CASHEWS SALTED 450G,AEGEAN CASHEWS SALTED 450G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,328be2d5-040c-44e9-84dd-abce8ddd450c,9317616005109,9317616005109,AEGEAN DRIED APRICOTS 425G,AEGEAN DRIED APRICOTS 425G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,81dfd0d1-8cf2-47e2-a574-dcbf62f0e605,9317616616718,9317616616718,AEGEAN DRIED CRANBERRIES 500G,AEGEAN DRIED CRANBERRIES 500G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,f5de01b7-cdbc-40f1-9cd0-605a270cab43,9317616537877,9317616537877,AEGEAN DRIED FIGS 250G,AEGEAN DRIED FIGS 250G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,462e2a89-f1b7-483e-85c6-22e1703e75a0,9317616847594,9317616847594,AEGEAN DRY RST ALMONDS 375 GR,AEGEAN DRY RST ALMONDS 375 GR
